toi,tid,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,koi_disposition
6737.01,171886633,255.458652,-56.815904,-2.976,-9.909,2460119.939,2.8475582,2.979,12974,16.2689,1724.51,1795,13.0057,813.685,6372,4.28,1.36,CANDIDATE
6738.01,89417257,275.279781,-45.469851,-6.827,-11.533,2460122.481,3.6234424,4.383,3332,9.13018,1323.23,1680,12.0409,684.777,5815,3.88,1.95,CANDIDATE
6739.01,91324328,278.145792,-44.717706,-30.145,-38.305,2460115.369,4.6588405,1.429,12845,10.0709,37.2212,688,12.5258,252.074,4768,4.49,0.83,CANDIDATE
674.01,158588995,164.586559,-36.858109,-163.27,-3.766,2459301.778,1.9771658,1.1104153,13877.30597,5.2706003,40.7227689,644.2865637,11.8764,46.0851,3467,4.87946,0.421944,CONFIRMED
6740.01,174070181,258.410562,-55.729405,0.305,-8.846,2460121.946,3.3505941,3.542,8973,11.4279,723.955,1445,13.3912,778.277,5579,4.17,1.35,CANDIDATE
6741.01,263203229,230.412408,-67.206546,-0.928,-7.491,2460117.887,5.0061978,3.521,6438,12.4847,1188.71,1635,12.792,901.517,6713,4.21,1.55,FALSE POSITIVE
6742.01,307232923,267.730983,-61.614393,1.011,-2.512,2460116.806,8.1678648,4.797,4097,10.7664,297.977,1157,13.2152,1038.26,5859,3.98,1.74,CANDIDATE
6743.01,361403927,242.81722,-67.000306,-7.798,-10.979,2460118.47,5.9097139,5.732,8420,18.7334,1061.42,1590,12.2914,997.768,6508,3.9,2.14,CANDIDATE
6744.01,345056639,277.412003,-62.201806,0.746,-5.017,2460124.073,0.8674623,1.457,5547,12.8076,3424.09,2131,13.2719,1172.04,6470,4.09,1.72,CANDIDATE
6745.01,301247383,255.105601,-69.617872,-2.631,-5.772,2460122.256,5.2452852,5.117,5568,11.9863,793.304,1478,12.9951,1049.37,5928,3.9,1.93,CANDIDATE
6746.01,367900542,260.693723,-56.817609,0.109,5.417,2460124.082,1.20306,1.028,14933,12.8325,196.591,1043,13.2738,298.209,4204,4.29,0.97,CANDIDATE
6748.01,421056636,252.568079,-56.083838,4.28,-4.495,2460124.161,4.5932835,3.185,7417,11.9834,420.855,1261,13.1351,824.528,5988,4.18,1.41,CANDIDATE
6749.01,426901646,236.891954,-67.506647,-1.84,-3.377,2460111.873,8.6121286,4.155,4777,12.0872,620.245,1390,12.0574,1036.48,7929,4.16,1.89,CANDIDATE
675.01,169226822,160.558765,-3.834999,19.224,17.026,2458543.942,4.1780637,4.3176109,11478.1087,14.6952606,703.9710193,1313.73704,9.62959,159.507,5620,4.18582,1.34736,CONFIRMED
6750.01,299876474,244.02137,-60.038009,-28.934,0.542,2460122.22,2.5950111,2.524,28870,10.8614,131.825,943,14.4757,317.495,3875,4.62,0.64,FALSE POSITIVE
6751.01,381448973,257.381418,-47.403434,0.262,-1.12,2460117.399,2.9419791,3.363,14460,15.3905,2295.26,1928,12.6752,722.785,7277,4.35,1.42,CANDIDATE
6752.01,87422071,273.034601,-44.243404,-9.334,-19.557,2460112.641,11.3648628,4.025,4113,9.30846,140.925,959,11.1938,384.758,6128,4.15,1.51,CANDIDATE
